"3";"1";"34";"2015-06-18 17:13:05"
"5";"1";"37";"2015-06-18 17:13:06"
"1";"1";"37";"2015-06-18 17:13:09"
"4";"1";"33";"2015-06-18 17:13:12"
"5";"1";"32";"2015-06-18 17:13:20"
"4";"1";"30";"2015-06-18 17:13:26"
"3";"1";"37";"2015-06-18 17:13:31"
"5";"1";"34";"2015-06-18 17:13:33"
"4";"1";"30";"2015-06-18 17:13:39"
"3";"1";"37";"2015-06-18 17:13:45"
"5";"1";"34";"2015-06-18 17:13:47"
"4";"1";"30";"2015-06-18 17:13:53"
"3";"1";"37";"2015-06-18 17:13:58"
"5";"1";"34";"2015-06-18 17:14:00"
"4";"1";"30";"2015-06-18 17:14:06"
"3";"1";"37";"2015-06-18 17:14:12"
"5";"1";"34";"2015-06-18 17:14:14"
"4";"1";"30";"2015-06-18 17:14:20"
"3";"1";"37";"2015-06-18 17:14:25"
"5";"1";"34";"2015-06-18 17:14:27"
"4";"1";"30";"2015-06-18 17:14:33"
"3";"1";"37";"2015-06-18 17:14:39"
"5";"1";"34";"2015-06-18 17:14:41"
"4";"1";"30";"2015-06-18 17:14:47"
"3";"1";"37";"2015-06-18 17:14:52"
"5";"1";"34";"2015-06-18 17:14:54"
"4";"1";"30";"2015-06-18 17:15:00"
"3";"1";"37";"2015-06-18 17:15:06"
"5";"1";"33";"2015-06-18 17:15:08"
"4";"1";"30";"2015-06-18 17:15:14"
"3";"1";"37";"2015-06-18 17:15:19"
"5";"1";"34";"2015-06-18 17:15:21"
"1";"1";"46";"2015-06-18 17:15:24"
"4";"1";"32";"2015-06-18 17:15:27"
"3";"1";"35";"2015-06-18 17:15:33"
"5";"1";"34";"2015-06-18 17:15:35"
"4";"1";"36";"2015-06-18 17:15:41"
"3";"1";"35";"2015-06-18 17:15:46"
"5";"1";"33";"2015-06-18 17:15:48"
"4";"1";"34";"2015-06-18 17:15:54"
"3";"1";"38";"2015-06-18 17:16:00"
"1";"1";"37";"2015-06-18 17:16:01"
"5";"1";"37";"2015-06-18 17:16:02"
"4";"1";"35";"2015-06-18 17:16:08"
"3";"1";"35";"2015-06-18 17:16:13"
"1";"1";"37";"2015-06-18 17:16:15"
"5";"1";"34";"2015-06-18 17:16:15"
"4";"1";"33";"2015-06-18 17:16:21"
"3";"1";"33";"2015-06-18 17:16:27"
"5";"1";"32";"2015-06-18 17:16:29"
"4";"1";"34";"2015-06-18 17:16:35"
"3";"1";"34";"2015-06-18 17:16:40"
"5";"1";"32";"2015-06-18 17:16:43"
"4";"1";"34";"2015-06-18 17:16:48"
"3";"1";"34";"2015-06-18 17:16:54"
"5";"1";"32";"2015-06-18 17:16:56"
"4";"1";"32";"2015-06-18 17:17:02"
"1";"1";"38";"2015-06-18 17:17:05"
"3";"1";"33";"2015-06-18 17:17:07"
"5";"1";"33";"2015-06-18 17:17:10"
"4";"1";"34";"2015-06-18 17:17:15"
"1";"1";"38";"2015-06-18 17:17:18"
"3";"1";"35";"2015-06-18 17:17:21"
"5";"1";"35";"2015-06-18 17:17:23"
"4";"1";"34";"2015-06-18 17:17:29"
